"Additionality category","Additionality code or text","Additionality type","Description"
"Financial additionality","11","Targets underserved geographies","This includes LICs, LDCs, SIDS or other high-risk or capital-constrained markets."
"Financial additionality","12","Targets underserved sectors or segments","This includes high-risk or capital-constrained sectors of economic activity (or parts thereof), or underserved population groups."
"Financial additionality","13","Conveys investment terms unavailable on the market","This includes both volume and qualitative aspects (e.g. currency, maturity, interest and fees, amortisation schedule, flexible collateral, return expectations etc.) to promote a project bankability. Anchor investments or investments that enable financial close are included here too."
"Value additionality","14","Mobilise private finance","This includes interventions that aim to mobilise private finance which would not have otherwise been invested."
"Value additionality","21","Mitigate non-financial risks","This includes various country, regulatory, project, macroeconomic, political and other risks. The official sector may use its reputation, convening power or good relationship with authorities and/or the private sector in developing countries to mitigate such risks."
"Value additionality","22","Promotes pro-development business models","This includes various capacity-building activities that specifically aim to improve the business models of private sector partners to improve their development impact beyond the adoption of environmental, social and governance (ESG) standards."
"Value additionality","23","Promotes knowledge transfer and generation","This includes various capacity-building activities in support of in-house research and development (R&D), access to networks and associations, growth etc."
"Value additionality","99","Other, please specify","—"
